#relation_a	#relation_b	#similarity
motivatedbygoal	partof	0.27545178084030586
createdby	isa	0.24634853910096177
usedfor	hascontext	0.2892541226105393
similarsize	isa	0.33257543765964526
derivedfrom	causesdesire	0.11238259685558744
knownfor	maininterest	0.2113691929304315
haslastsubevent	desires	0.17198244010044425
synonym	createdby	0.07878525658447602
synonym	usedfor	0.19680452098313567
antonym	notgeneralize	0.09824619129851901
entails	usedfor	0.10176981905865683
antonym	createdby	0.050110201846314685
locatednear	causesdesire	0.04277342482035937
locatednear	haslastsubevent	0.13862894515977706
similarsize	maininterest	0.21676690522176345
knownfor	hasfirstsubevent	0.17639072830157343
atlocation	partof	0.2372280940869997
causes	causesdesire	1.0000000000000002
usedfor	notableidea	0.28886715447544137
isa	requires	0.2190899032539966
entails	requires	0.34794836099742427
locationofaction	maininterest	0.20856691601477825
hassubevent	locationofaction	0.403094638672253
motivatedbygoal	notableidea	0.3731652931491757
haslastsubevent	motivatedbygoal	0.23380175716271007
antonym	receivesaction	0.09853723012692205
causesdesire	desires	1.0
partof	madeof	0.5137269579504239
entails	notdesires	0.1430279858831237
definedas	haslastsubevent	0.0948473136600452
derivedfrom	hasprerequisite	0.1688855896800714
attribute	receivesaction	0.29628111993881956
derivedfrom	antonym	0.21303691657943402
attribute	symbolof	0.3233450923745847
usedfor	requires	0.3578021388070225
hassubevent	hasprerequisite	0.2618923956742112
definedas	similarsize	0.25987239416307134
attribute	causesdesire	0.2506405872256689
causes	symbolof	0.19278858432009244
definedas	attribute	0.41731906455749956
haslastsubevent	createdby	0.11847132112970556
knownfor	attribute	0.2974934511407244
notdesires	hascontext	0.13919150806609856
relatedto	hascontext	0.3691194244275363
antonym	causes	0.11776346439187134
haslastsubevent	causes	0.2720357180017663
hasfirstsubevent	influencedby	0.3238076305795478
usedfor	causesdesire	0.17146879164013168
atlocation	createdby	0.22813026472974535
hassubevent	maininterest	0.1515524628512164
causes	locationofaction	0.403094638672253
hassubevent	notableidea	0.19635690416135032
entails	influencedby	0.14701855170328082
causesdesire	maininterest	0.3154965705093344
notgeneralize	causes	0.18728058897026068
similarsize	capableof	0.3373158608161828
similarto	hascontext	0.1451095688908541
notgeneralize	maininterest	0.20394675337342927
derivedfrom	knownfor	0.15805122206916053
definedas	influencedby	0.15246978127877223
synonym	hasproperty	0.23898510266509762
locationofaction	hascontext	0.6344575760551696
causes	hasproperty	0.26149042013750684
entails	locatednear	0.11625161383205868
antonym	knownfor	0.00872902389173662
antonym	notableidea	0.08320299221401262
notdesires	symbolof	0.1637930626646298
definedas	usedfor	0.19470576530673567
receivesaction	notableidea	0.28226835970725317
capableof	hassubevent	0.04302629626660976
definedas	desires	0.20727037494609166
causesdesire	influencedby	0.12290809407326801
causes	attribute	0.26149042013750684
createdby	notableidea	0.4749896362776595
similarsize	hasfirstsubevent	0.11184388035320376
antonym	synonym	0.5859061574811009
definedas	synonym	0.4821498430348574
similarto	requires	0.1641269174582627
symbolof	requires	0.21251082986658487
attribute	hascontext	0.2051576036549595
knownfor	locationofaction	0.16457193049726845
motivatedbygoal	usedfor	0.15964153704505957
haslastsubevent	hascontext	0.3736731895228114
desires	hassubevent	0.17198244010044425
antonym	hasprerequisite	0.03526417943263582
hasfirstsubevent	locationofaction	0.5760081315213595
notdesires	influencedby	0.36981874879223575
spokenin	receivesaction	0.15923194527853363
atlocation	antonym	0.06926708661416067
haslastsubevent	capableof	0.08162447734162295
synonym	symbolof	0.3107249805013783
entails	atlocation	0.025285462513244244
derivedfrom	maininterest	0.15214063505533842
knownfor	causesdesire	0.26108810761428325
causesdesire	madeof	0.19675978250287107
usedfor	relatedto	0.1675945356881083
knownfor	notgeneralize	0.1368331438085284
definedas	hasproperty	0.41731906455749956
createdby	notdesires	0.0731721098890573
knownfor	spokenin	0.34378187494871965
antonym	requires	0.03526417943263582
knownfor	motivatedbygoal	0.1655906550057307
notdesires	relatedto	0.12669612109356426
definedas	symbolof	0.5825073442767119
