i:relationTypes	f:relationTypesStd	f:edgesPerRelationTypes	i:cycles	i:patternEdges	i:patternVertices	i:highestDegreeVertex	f:matches	i:edgePairs	f:SSsum	f:SSmean	f:SSstandardDeviation	f:SSmin	f:SSmax	f:vrMean	f:vrMin	g:query	s:pattern
2	0	1	0	2	3	2	3.062206	1	0.250130823	0.250130823	0	0.250130823	0.250130823	1	1	X2,capableof,X0;X1,motivatedbygoal,X2;	tickle,motivatedbygoal,sex;sex,capableof,be_make_love;
2	0	1	0	2	3	2	4.525705	1	0.276284161	0.276284161	0	0.276284161	0.276284161	1	1	X1,usedfor,X0;X2,causes,X0;	get_some_physical_activity,usedfor,feel_good;attend_classical_concert,causes,feel_good;
2	0	1	0	2	3	2	3.053846	1	0.207436179	0.207436179	0	0.207436179	0.207436179	1	1	X1,partof,X2;X0,causes,X2;	have_conversation,causes,speech;suffix,partof,speech;
2	0	1	0	2	3	2	4.431074	1	0.097280308	0.097280308	0	0.097280308	0.097280308	1	1	X2,partof,X0;X2,capableof,X1;	hand,partof,pinky;hand,capableof,turn_valve;
2	0	1	0	2	3	2	3.248219	1	0.124198554	0.124198554	0	0.124198554	0.124198554	1	1	X0,partof,X1;X0,desires,X2;	most_person,partof,worldwide_money_make_machine;most_person,desires,win_lottery;
2	0	1	0	2	3	2	3.041787	1	0.275451781	0.275451781	0	0.275451781	0.275451781	1	1	X2,partof,X1;X2,motivatedbygoal,X0;	read,motivatedbygoal,appear_culture_to_opposite_sex;read,partof,england;
2	0	1	0	2	3	2	3.037028	1	0.132800827	0.132800827	0	0.132800827	0.132800827	1	1	X1,desires,X2;X0,usedfor,X2;	musician,desires,play_music;musical_instrument,usedfor,play_music;
2	0	1	0	2	3	2	3.712818	1	0.132800827	0.132800827	0	0.132800827	0.132800827	1	1	X1,usedfor,X2;X2,desires,X0;	handbag,usedfor,woman;woman,desires,get_rose_as_gift;
2	0	1	0	2	3	2	3.31576	1	0.171468792	0.171468792	0	0.171468792	0.171468792	1	1	X2,causesdesire,X1;X0,usedfor,X2;	bake,causesdesire,follow_recipe;bake_oven,usedfor,bake;
2	0	1	0	2	3	2	3.990161	1	0.276284161	0.276284161	0	0.276284161	0.276284161	1	1	X1,causes,X2;X0,usedfor,X1;	tv,usedfor,watch_movie;watch_movie,causes,you_cry;
2	0	1	0	2	3	2	4.636719	1	0.304842538	0.304842538	0	0.304842538	0.304842538	1	1	X0,capableof,X1;X2,usedfor,X0;	reach_tentative_agreement,usedfor,negotiator;negotiator,capableof,iron_iron_thing_out;
2	0	1	0	2	3	2	2.4133	1	0.10059326	0.10059326	0	0.10059326	0.10059326	1	1	X2,capableof,X0;X0,madeof,X1;	rape,madeof,rapeseed;human,capableof,rape;
2	0	1	0	2	3	2	3.020361	1	0.404920019	0.404920019	0	0.404920019	0.404920019	1	1	X2,desires,X0;X1,capableof,X0;	toddler,capableof,take_nap;puppie,desires,take_nap;
2	0	1	0	2	3	2	4.25914	1	0.530194561	0.530194561	0	0.530194561	0.530194561	1	1	X0,motivatedbygoal,X2;X1,causesdesire,X2;	go_to_musemu,motivatedbygoal,see_exhibit;curiosity,causesdesire,see_exhibit;
2	0	1	0	2	3	2	3.016197	1	0.173246843	0.173246843	0	0.173246843	0.173246843	1	1	X1,partof,X0;X1,causesdesire,X2;	playoff,partof,many_game;playoff,causesdesire,go_to_baseball_game;
2	0	1	0	2	3	2	3.550106	1	0.250130823	0.250130823	0	0.250130823	0.250130823	1	1	X2,capableof,X0;X1,motivatedbygoal,X0;	jump_out_of_window,motivatedbygoal,die;human,capableof,die;
2	0	1	0	2	3	2	3.014521	1	0.180150169	0.180150169	0	0.180150169	0.180150169	1	1	X1,causes,X0;X2,desires,X0;	billy,desires,have_sex;dance_samba,causes,have_sex;
